id,height,location_name,mountain_range
1850,1960,Zbojnícka chata / Schronisko Zbójnickie ,0
1851,349,Zbylut ,3
1852,430,Żdanów ,3
1853,875,Ždiar Penzión 0 / Zdziar Pensjonat 0 ,0
1854,1020,Ždiar Strednica / Zdziar Strednica ośrodek narci ,0
1855,490,Żegiestów Wieś ,1
1856,440,Żegiestów Zdrój ,1
1857,360,Żegocina ,1
1858,320,Żelazno ,3
1859,550,Żelazny Mostek ,3
1860,912,Żeleźnica  ,1
1861,240,Żelowice ,3
1862,859,Zembalowa  ,1
1863,320,Zembrzyce ,1
1864,695,Zęzów ,1
1865,1300,Žiarska chata / Schronisko Żarskie ,0
1866,1917,Žiarske sedlo / Żarska Przełęcz ,0
1867,210,Ziębice PKP ,3
1868,1140,Zielony Kopiec ,1
1869,1672,Zielony Staw Gąsienicowy  ,0
1870,525,Zimna Przełęcz ,3
1871,690,Zimný - osada ,1
1872,621,Złatna - Szkoła ,1
1873,740,Złatna Huta ,1
1874,777,Złatne  ,1
1875,2150,Żleb Kulczyńskiego ,0
1876,560,Żłób ,3
1877,370,Złotniki Lubańskie ,3
1878,335,Złoty Las ,3
1879,340,Złoty Potok ,3
1880,363,Złoty Stok ,3
1881,600,Złoty Widok ,3
1882,850,Żółta Droga ,3
1883,560,Zubeńsko ,2
1884,755,Zuberec / Zuberzec ,0
1885,795,Zuberec Prte / Zuberzec Prte ,0
1886,630,Żubracze ,2
1887,665,Zubrzyca Dolna ,1
1888,760,Zubrzyca Górna ,1
1889,738,Zubrzyca Górna - Zimna Dziura ,1
1890,724,Żurawnica ,1
1891,671,Zwardoń ,1
1892,350,Zwierzyń ,2
1893,740,Zygmuntówka schronisko ,3
1894,450,Zyndranowa / skansen ,2
1895,348,Żywiec ,1
